Villanova | Mt. St. Mary's
Wisconsin | Va. Tech
Virginia | UNC-Wilm
Florida | ETSU
SMU | PROV
Baylor | New Mex. St.
S. Carolina | Marquette
Duke | Troy
Gonzaga | S. Dakota St.
Northwestern | Vanderbilt
Notre Dame | Princeton
W. Virginia | Bucknell
Maryland | Xavier
Florida St. | FGCU
St. Mary's | VCU
Arizona | N. Dakota
Kansas | UC Davis
Miami (Fla.) | Michigan St.
Iowa St. | Nevada
Purdue | Vermont
Creighton | Rhode Island
Oregon | Iona
Michigan | Oklahoma St.
Louiville | Jax. State
N. Carolina | Texas So.
Arkansas | Seton Hall
Minnesota | Middle Tenn.
Butler | Winthorp
Cincinnati | Kansas St.
UCLA | Kent St.
Dayton | Wichita St.
Kentucky | N. Kentucky
